crime,log_pibpc,pop_scales,edad_media,ratio_mh,urban,densidad,hab_dom
Sim,10.338225337813567,Mais de 100.000,35.4,101,"(90,95]","(50,100]",3.08
Sim,10.369298969225387,De 50.001 a 100.000,34.7,103,"(90,95]","(50,100]",2.93
Sim,10.84962694755072,Mais de 100.000,32.3,103.3,"(97.5,100]","(500, Inf]",3.04
Sim,10.889730375698788,De 50.001 a 100.000,39.1,103.1,"(90,95]","(100,500]",2.91
Não,9.310573866896195,Até 10.000,33,97,"(-Inf,80]","(-Inf,25]",2.97
Sim,10.3659868445458,De 10.001 a 50.000,38.9,102.8,"(90,95]","(25,50]",2.72
Não,9.91663721550955,De 10.001 a 50.000,36.8,101.3,"(80,90]","(25,50]",2.83
Sim,10.713791350371201,De 10.001 a 50.000,36,99.7,"(95,97.5]","(50,100]",2.96
Não,9.885019564212998,Até 10.000,37,96.1,"(-Inf,80]","(-Inf,25]",2.87
Sim,9.950123970486917,Mais de 100.000,32.8,103.4,"(97.5,100]","(500, Inf]",3.08
Sim,9.8692656047114955,De 10.001 a 50.000,35.7,104.2,"(90,95]","(25,50]",2.82
Não,9.85908049351153,De 10.001 a 50.000,34.3,100.1,"(-Inf,80]","(50,100]",2.93
Sim,10.910675651151893,Mais de 100.000,36.8,103.3,"(80,90]","(100,500]",2.91
Não,9.892369475132275,De 10.001 a 50.000,33.4,96.9,"(90,95]","(-Inf,25]",3.08
Sim,10.649495173868006,De 10.001 a 50.000,34.6,72.5,"(90,95]","(25,50]",3.54
Sim,9.713495250657925,Até 10.000,36,98.3,"(80,90]","(25,50]",3.05
Não,9.80999521944681,Até 10.000,37.7,95.7,"(90,95]","(50,100]",2.89
Sim,10.799295333746633,Mais de 100.000,36.1,103,"(95,97.5]","(100,500]",2.97
Sim,11.759267283628613,De 50.001 a 100.000,34,98.6,"(90,95]","(100,500]",2.98
Sim,10.589764940010445,De 10.001 a 50.000,38.2,105.6,"(90,95]","(50,100]",2.77
Sim,9.93379801395869,Até 10.000,37.4,99.4,"(95,97.5]","(-Inf,25]",2.9
Sim,10.590747185450988,De 50.001 a 100.000,38.5,106.2,"(97.5,100]","(100,500]",2.81
Sim,10.985794461402813,Mais de 100.000,36.6,105.2,"(97.5,100]","(100,500]",2.97
Não,11.088212397709064,Até 10.000,36.5,97.9,"(90,95]","(25,50]",2.85
Sim,10.295831284002308,De 10.001 a 50.000,35.6,97.6,"(-Inf,80]","(-Inf,25]",2.88
Sim,12.341474880786768,De 50.001 a 100.000,35.7,102.8,"(97.5,100]","(100,500]",2.94
Sim,10.442408092050501,De 10.001 a 50.000,40.6,105.9,"(90,95]","(100,500]",2.61
Não,10.633061884424933,Até 10.000,36.2,96.4,"(-Inf,80]","(25,50]",2.9
Sim,10.436497670581975,Mais de 100.000,34.1,104.5,"(97.5,100]","(500, Inf]",2.84
Sim,10.257060239447691,De 10.001 a 50.000,35.8,100.1,"(97.5,100]","(50,100]",3.02
Sim,11.366943166229982,De 10.001 a 50.000,34.9,101,"(80,90]","(100,500]",3.05
Sim,10.422301583841746,Mais de 100.000,37.3,105,"(97.5,100]","(100,500]",2.91
